CODE,SHORT DESCRIPTION (VALID ICD-10 FY2026),LONG DESCRIPTION (VALID ICD-10 FY2026),NF EXCL
C110,Malignant neoplasm of superior wall of nasopharynx,Malignant neoplasm of superior wall of nasopharynx,
C111,Malignant neoplasm of posterior wall of nasopharynx,Malignant neoplasm of posterior wall of nasopharynx,
C112,Malignant neoplasm of lateral wall of nasopharynx,Malignant neoplasm of lateral wall of nasopharynx,
C113,Malignant neoplasm of anterior wall of nasopharynx,Malignant neoplasm of anterior wall of nasopharynx,
C118,Malignant neoplasm of overlapping sites of nasopharynx,Malignant neoplasm of overlapping sites of nasopharynx,
C119,"Malignant neoplasm of nasopharynx, unspecified","Malignant neoplasm of nasopharynx, unspecified",
C12,Malignant neoplasm of pyriform sinus,Malignant neoplasm of pyriform sinus,
C130,Malignant neoplasm of postcricoid region,Malignant neoplasm of postcricoid region,
C131,"Malig neoplasm of aryepiglottic fold, hypopharyngeal aspect","Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",
C132,Malignant neoplasm of posterior wall of hypopharynx,Malignant neoplasm of posterior wall of hypopharynx,
C138,Malignant neoplasm of overlapping sites of hypopharynx,Malignant neoplasm of overlapping sites of hypopharynx,
C139,"Malignant neoplasm of hypopharynx, unspecified","Malignant neoplasm of hypopharynx, unspecified",
C140,"Malignant neoplasm of pharynx, unspecified","Malignant neoplasm of pharynx, unspecified",
C142,Malignant neoplasm of Waldeyer's ring,Malignant neoplasm of Waldeyer's ring,
C148,"Malig neoplm of ovrlp sites of lip, oral cavity and pharynx","Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",
C153,Malignant neoplasm of upper third of esophagus,Malignant neoplasm of upper third of esophagus,
C154,Malignant neoplasm of middle third of esophagus,Malignant neoplasm of middle third of esophagus,
C155,Malignant neoplasm of lower third of esophagus,Malignant neoplasm of lower third of esophagus,
C158,Malignant neoplasm of overlapping sites of esophagus,Malignant neoplasm of overlapping sites of esophagus,
